project,run_id,timestamp_utc,component,component_type,metric,tool,variant,duplicate_count,distinct_values,min_value,max_value,mean_value,tool_versions
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::!==@L52,method,cc,lizard,lizard-default,2,2,3.0,8.0,5.5,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::!@L52,method,cc,lizard,lizard-default,4,3,1.0,5.0,2.5,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::$@L14,method,cc,lizard,lizard-default,2,1,3.0,3.0,3.0,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::$@L22,method,cc,lizard,lizard-default,2,2,1.0,6.0,3.5,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::$o@L22,method,cc,lizard,lizard-default,5,2,1.0,2.0,1.2,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::(anonymous)@L1,method,cc,lizard,lizard-default,31,11,1.0,56.0,5.612903,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::(anonymous)@L14,method,cc,lizard,lizard-default,22,6,1.0,34.0,5.045455,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::(anonymous)@L22,method,cc,lizard,lizard-default,50,7,1.0,10.0,1.82,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::(anonymous)@L39,method,cc,lizard,lizard-default,10,3,1.0,11.0,2.2,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::(anonymous)@L47,method,cc,lizard,lizard-default,22,5,1.0,6.0,2.045455,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::(anonymous)@L52,method,cc,lizard,lizard-default,734,19,1.0,22.0,2.366485,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::A@L1,method,cc,lizard,lizard-default,5,2,1.0,37.0,8.2,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::A@L22,method,cc,lizard,lizard-default,2,2,7.0,18.0,12.5,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::A@L52,method,cc,lizard,lizard-default,2,2,4.0,5.0,4.5,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Ai@L52,method,cc,lizard,lizard-default,2,2,1.0,2.0,1.5,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Ao@L52,method,cc,lizard,lizard-default,2,1,2.0,2.0,2.0,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Bn@L52,method,cc,lizard,lizard-default,2,2,1.0,2.0,1.5,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Bt@L52,method,cc,lizard,lizard-default,3,3,1.0,5.0,3.0,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::C@L52,method,cc,lizard,lizard-default,2,2,1.0,7.0,4.0,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Cc@L52,method,cc,lizard,lizard-default,2,2,1.0,2.0,1.5,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Cr@L52,method,cc,lizard,lizard-default,2,2,2.0,4.0,3.0,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Da@L52,method,cc,lizard,lizard-default,3,3,1.0,5.0,3.0,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Dc@L52,method,cc,lizard,lizard-default,2,1,2.0,2.0,2.0,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Di@L52,method,cc,lizard,lizard-default,2,2,2.0,4.0,3.0,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Dl@L52,method,cc,lizard,lizard-default,2,2,1.0,2.0,1.5,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Do@L52,method,cc,lizard,lizard-default,3,3,1.0,5.0,3.333333,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::E@L52,method,cc,lizard,lizard-default,3,3,1.0,7.0,4.333333,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Ea@L52,method,cc,lizard,lizard-default,2,2,1.0,2.0,1.5,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Ec@L52,method,cc,lizard,lizard-default,2,1,2.0,2.0,2.0,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Eo@L52,method,cc,lizard,lizard-default,3,3,1.0,5.0,3.0,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Er@L52,method,cc,lizard,lizard-default,3,3,1.0,5.0,3.0,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Error@L22,method,cc,lizard,lizard-default,2,2,1.0,7.0,4.0,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Fl@L52,method,cc,lizard,lizard-default,3,1,1.0,1.0,1.0,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Fo@L52,method,cc,lizard,lizard-default,2,1,2.0,2.0,2.0,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Fr@L52,method,cc,lizard,lizard-default,2,2,1.0,2.0,1.5,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Ft@L52,method,cc,lizard,lizard-default,2,2,1.0,2.0,1.5,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Fu@L52,method,cc,lizard,lizard-default,2,2,2.0,4.0,3.0,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Gc@L52,method,cc,lizard,lizard-default,2,1,2.0,2.0,2.0,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Gl@L52,method,cc,lizard,lizard-default,2,2,1.0,2.0,1.5,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Gn@L52,method,cc,lizard,lizard-default,2,2,1.0,2.0,1.5,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Gu@L52,method,cc,lizard,lizard-default,2,2,1.0,2.0,1.5,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::He@L52,method,cc,lizard,lizard-default,3,3,1.0,5.0,3.0,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Hi@L52,method,cc,lizard,lizard-default,2,2,1.0,2.0,1.5,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Hn@L52,method,cc,lizard,lizard-default,2,2,1.0,2.0,1.5,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Hu@L52,method,cc,lizard,lizard-default,2,2,1.0,2.0,1.5,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Io@L52,method,cc,lizard,lizard-default,3,3,1.0,5.0,3.0,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::It@L52,method,cc,lizard,lizard-default,2,2,2.0,4.0,3.0,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Jn@L52,method,cc,lizard,lizard-default,3,3,1.0,5.0,3.0,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Jr@L52,method,cc,lizard,lizard-default,2,1,2.0,2.0,2.0,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Jt@L52,method,cc,lizard,lizard-default,2,2,2.0,4.0,3.0,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Ka@L52,method,cc,lizard,lizard-default,2,2,1.0,2.0,1.5,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Kr@L52,method,cc,lizard,lizard-default,3,3,1.0,5.0,3.0,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Lc@L52,method,cc,lizard,lizard-default,3,3,1.0,5.0,3.0,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Li@L52,method,cc,lizard,lizard-default,2,2,1.0,2.0,1.5,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Ll@L52,method,cc,lizard,lizard-default,2,2,2.0,4.0,3.0,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Lo@L52,method,cc,lizard,lizard-default,2,2,1.0,2.0,1.5,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Lt@L52,method,cc,lizard,lizard-default,2,2,1.0,2.0,1.5,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Ma@L22,method,cc,lizard,lizard-default,2,2,2.0,11.0,6.5,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Ma@L52,method,cc,lizard,lizard-default,3,2,1.0,2.0,1.333333,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Math.min@L52,method,cc,lizard,lizard-default,2,1,1.0,1.0,1.0,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Mn@L52,method,cc,lizard,lizard-default,2,2,2.0,4.0,3.0,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Mr@L22,method,cc,lizard,lizard-default,3,3,2.0,61.0,22.666667,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Mr@L52,method,cc,lizard,lizard-default,2,2,1.0,2.0,1.5,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Mt@L52,method,cc,lizard,lizard-default,2,2,1.0,2.0,1.5,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Ne@L22,method,cc,lizard,lizard-default,4,2,1.0,3.0,1.5,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::No@L52,method,cc,lizard,lizard-default,2,2,1.0,2.0,1.5,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Nr@L52,method,cc,lizard,lizard-default,2,1,2.0,2.0,2.0,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Nt@L52,method,cc,lizard,lizard-default,2,1,2.0,2.0,2.0,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Nu@L52,method,cc,lizard,lizard-default,3,3,1.0,5.0,3.0,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Oi@L52,method,cc,lizard,lizard-default,2,2,2.0,4.0,3.0,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::On@L52,method,cc,lizard,lizard-default,2,1,2.0,2.0,2.0,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Ou@L52,method,cc,lizard,lizard-default,2,2,2.0,4.0,3.0,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::P@L52,method,cc,lizard,lizard-default,2,2,2.0,5.0,3.5,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Pc@L52,method,cc,lizard,lizard-default,2,2,2.0,4.0,3.0,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Pe@L52,method,cc,lizard,lizard-default,3,3,1.0,5.0,3.0,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Qa@L52,method,cc,lizard,lizard-default,2,1,2.0,2.0,2.0,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Qu@L52,method,cc,lizard,lizard-default,2,2,2.0,4.0,3.0,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Ra@L52,method,cc,lizard,lizard-default,2,2,2.0,4.0,3.0,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Rc@L52,method,cc,lizard,lizard-default,2,2,1.0,2.0,1.5,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Re@L52,method,cc,lizard,lizard-default,6,3,1.0,3.0,1.833333,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Rn@L52,method,cc,lizard,lizard-default,3,3,1.0,5.0,3.0,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::S@L52,method,cc,lizard,lizard-default,2,2,3.0,4.0,3.5,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::So@L52,method,cc,lizard,lizard-default,2,2,1.0,2.0,1.5,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Sr@L52,method,cc,lizard,lizard-default,2,1,2.0,2.0,2.0,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::T@L52,method,cc,lizard,lizard-default,6,4,1.0,9.0,5.5,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Tc@L52,method,cc,lizard,lizard-default,3,3,1.0,5.0,3.0,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Tl@L52,method,cc,lizard,lizard-default,3,3,1.0,5.0,3.0,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Ui@L52,method,cc,lizard,lizard-default,2,1,2.0,2.0,2.0,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Ul@L52,method,cc,lizard,lizard-default,3,3,1.0,5.0,3.0,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Ut@L52,method,cc,lizard,lizard-default,2,2,1.0,2.0,1.5,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::W@L14,method,cc,lizard,lizard-default,2,2,1.0,4.0,2.5,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::W@L52,method,cc,lizard,lizard-default,2,2,4.0,5.0,4.5,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Wa@L52,method,cc,lizard,lizard-default,2,1,1.0,1.0,1.0,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Wc@L52,method,cc,lizard,lizard-default,2,2,1.0,2.0,1.5,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Wn@L52,method,cc,lizard,lizard-default,2,1,2.0,2.0,2.0,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Wu@L52,method,cc,lizard,lizard-default,2,1,2.0,2.0,2.0,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Xa@L52,method,cc,lizard,lizard-default,2,2,1.0,2.0,1.5,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Xl@L52,method,cc,lizard,lizard-default,3,3,1.0,5.0,3.0,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Xt@L52,method,cc,lizard,lizard-default,3,3,1.0,5.0,3.0,unknown
retrofit,5899a99c-0676-4d1a-b88e-01577587da32,2026-02-26T14:20:47Z,website/public/2.x/converter-kotlinx-serialization/scripts/main.js::Ya@L52,method,cc,lizard,lizard-default,3,3,1.0,5.0,3.0,unknown
