project,run_id,timestamp_utc,component,component_type,ca__ck__ck-ce-ca-proxy,ca__jdepend__jdepend-default,cbo__ck__ck-ce-ca-proxy,cc__ckjm__ckjm-normalized,cc__lizard__lizard-module-mean,ce__ck__ck-ce-ca-proxy,ce__jdepend__jdepend-default,instability__ck__ck-ce-ca-proxy-normalized,instability__ck__ck-derived,instability__jdepend__jdepend-default,instability__jdepend__jdepend-default-normalized,lcom__ck__ck-default,lcom__ckjm__ckjm-default,nom__ckjm__ckjm-raw,wmc__ckjm__ckjm-raw
Java,3b3891b5-75b4-4f68-8e64-e83d63db6a72,2026-02-27T11:03:21Z,src,module,,,,,,,,,,,,3.939243,,,
Java,3b3891b5-75b4-4f68-8e64-e83d63db6a72,2026-02-27T11:04:52Z,src,module,,,,,,,,,,,,,0.0,,
Java,5870895b-b82d-493e-8c96-985f04d264a4,2026-02-27T11:01:31Z,src,module,,,,,,,,,,,,,0.0,,
Java,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:47:38Z,src,module,,,,,2.683271,,,,,,,,,,
Java,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:47:54Z,src,module,,,,2.709259,,,,,,,,,,3780.0,10241.0
Java,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:49:11Z,src,module,,11.0,,,,,11.0,,,,0.5,,,,
Java,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:49:48Z,src,module,685.0,,1605.0,,,1605.0,,0.700873,,,,,,,
Java,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:51:06Z,src,module,,,,,,,,,,0.132716,,,,,
Java,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:51:45Z,src,module,,,,,,,,,0.621057,,,,,,
Java,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:53:04Z,src,module,,,,,,,,,,,,3.939243,,,
Java,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:54:22Z,src,module,,,,,,,,,,,,,0.0,,
Java,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T11:00:40Z,src,module,,,,,,,,,,,,,0.0,,
Java,c263e45c-541e-43a3-8b9f-a5c2268ca973,2026-02-27T10:59:41Z,src,module,,,,,,,,,,,,,0.0,,
Java,fe48d1d4-a0b3-41d9-836c-ca4d994b73af,2026-02-27T10:58:48Z,src,module,,,,,,,,,,,,,0.0,,
commons-collections,030e2a2b-218c-483d-a0fc-5676e8a16697,2026-02-27T11:16:43Z,?,module,,0.0,,,,,0.0,,,,0.0,,,,
commons-collections,030e2a2b-218c-483d-a0fc-5676e8a16697,2026-02-27T11:17:17Z,?,module,,,,,,,,,,0.0,,,,,
commons-collections,3b3891b5-75b4-4f68-8e64-e83d63db6a72,2026-02-27T11:03:21Z,?,module,,,,,,,,,,,,0.0,,,
commons-collections,3b3891b5-75b4-4f68-8e64-e83d63db6a72,2026-02-27T11:03:21Z,src,module,,,,,,,,,,,,55.116638,,,
commons-collections,3b3891b5-75b4-4f68-8e64-e83d63db6a72,2026-02-27T11:04:52Z,?,module,,,,,,,,,,,,,0.0,,
commons-collections,3b3891b5-75b4-4f68-8e64-e83d63db6a72,2026-02-27T11:04:52Z,src,module,,,,,,,,,,,,,0.0,,
commons-collections,4671899e-8e10-4968-9b8e-7c632f591567,2026-02-27T11:23:21Z,?,module,,0.0,,,,,0.0,,,,0.0,,,,
commons-collections,4671899e-8e10-4968-9b8e-7c632f591567,2026-02-27T11:23:21Z,src,module,,74.0,,,,,154.0,,,,0.675439,,,,
commons-collections,4671899e-8e10-4968-9b8e-7c632f591567,2026-02-27T11:23:45Z,?,module,,,,,,,,,,0.0,,,,,
commons-collections,4671899e-8e10-4968-9b8e-7c632f591567,2026-02-27T11:23:45Z,src,module,,,,,,,,,,0.675439,,,,,
commons-collections,5870895b-b82d-493e-8c96-985f04d264a4,2026-02-27T11:01:31Z,?,module,,,,,,,,,,,,,0.0,,
commons-collections,5870895b-b82d-493e-8c96-985f04d264a4,2026-02-27T11:01:31Z,src,module,,,,,,,,,,,,,0.0,,
commons-collections,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:47:38Z,src,module,,,,,1.700603,,,,,,,,,,
commons-collections,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:47:54Z,?,module,,,,,,,,,,,,,,0.0,0.0
commons-collections,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:47:54Z,src,module,,,,1.624283,,,,,,,,,,4884.0,7933.0
commons-collections,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:49:11Z,?,module,,0.0,,,,,0.0,,,,0.0,,,,
commons-collections,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:49:11Z,src,module,,76.0,,,,,76.0,,,,0.5,,,,
commons-collections,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:49:48Z,?,module,0.0,,0.0,,,0.0,,0.0,,,,,,,
commons-collections,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:49:48Z,src,module,1419.0,,2801.0,,,2801.0,,0.663744,,,,,,,
commons-collections,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:51:06Z,?,module,,,,,,,,,,0.0,,,,,
commons-collections,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:51:06Z,src,module,,,,,,,,,,0.497379,,,,,
commons-collections,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:51:45Z,?,module,,,,,,,,,0.0,,,,,,
commons-collections,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:51:45Z,src,module,,,,,,,,,0.763955,,,,,,
commons-collections,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:53:04Z,?,module,,,,,,,,,,,,0.0,,,
commons-collections,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:53:04Z,src,module,,,,,,,,,,,,55.116638,,,
commons-collections,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:54:22Z,?,module,,,,,,,,,,,,,0.0,,
commons-collections,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:54:22Z,src,module,,,,,,,,,,,,,0.0,,
commons-collections,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T11:00:40Z,?,module,,,,,,,,,,,,,0.0,,
commons-collections,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T11:00:40Z,src,module,,,,,,,,,,,,,0.0,,
commons-collections,c263e45c-541e-43a3-8b9f-a5c2268ca973,2026-02-27T10:59:41Z,?,module,,,,,,,,,,,,,0.0,,
commons-collections,c263e45c-541e-43a3-8b9f-a5c2268ca973,2026-02-27T10:59:41Z,src,module,,,,,,,,,,,,,0.0,,
commons-collections,fe48d1d4-a0b3-41d9-836c-ca4d994b73af,2026-02-27T10:58:48Z,?,module,,,,,,,,,,,,,0.0,,
commons-collections,fe48d1d4-a0b3-41d9-836c-ca4d994b73af,2026-02-27T10:58:48Z,src,module,,,,,,,,,,,,,0.0,,
commons-io,030e2a2b-218c-483d-a0fc-5676e8a16697,2026-02-27T11:16:43Z,?,module,,0.0,,,,,0.0,,,,0.0,,,,
commons-io,030e2a2b-218c-483d-a0fc-5676e8a16697,2026-02-27T11:17:17Z,?,module,,,,,,,,,,0.0,,,,,
commons-io,3b3891b5-75b4-4f68-8e64-e83d63db6a72,2026-02-27T11:03:21Z,?,module,,,,,,,,,,,,0.0,,,
commons-io,3b3891b5-75b4-4f68-8e64-e83d63db6a72,2026-02-27T11:03:21Z,src,module,,,,,,,,,,,,127.754335,,,
commons-io,3b3891b5-75b4-4f68-8e64-e83d63db6a72,2026-02-27T11:04:52Z,?,module,,,,,,,,,,,,,0.0,,
commons-io,3b3891b5-75b4-4f68-8e64-e83d63db6a72,2026-02-27T11:04:52Z,src,module,,,,,,,,,,,,,0.0,,
commons-io,4671899e-8e10-4968-9b8e-7c632f591567,2026-02-27T11:23:21Z,?,module,,0.0,,,,,0.0,,,,0.0,,,,
commons-io,4671899e-8e10-4968-9b8e-7c632f591567,2026-02-27T11:23:45Z,?,module,,,,,,,,,,0.0,,,,,
commons-io,5870895b-b82d-493e-8c96-985f04d264a4,2026-02-27T11:01:31Z,?,module,,,,,,,,,,,,,0.0,,
commons-io,5870895b-b82d-493e-8c96-985f04d264a4,2026-02-27T11:01:31Z,src,module,,,,,,,,,,,,,0.0,,
commons-io,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:47:38Z,src,module,,,,,1.638335,,,,,,,,,,
commons-io,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:47:54Z,?,module,,,,,,,,,,,,,,0.0,0.0
commons-io,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:47:54Z,src,module,,,,1.606198,,,,,,,,,,3098.0,4976.0
commons-io,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:49:11Z,?,module,,0.0,,,,,0.0,,,,0.0,,,,
commons-io,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:49:11Z,src,module,,33.0,,,,,33.0,,,,0.5,,,,
commons-io,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:49:48Z,?,module,0.0,,0.0,,,0.0,,0.0,,,,,,,
commons-io,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:49:48Z,src,module,886.0,,1335.0,,,1335.0,,0.601081,,,,,,,
commons-io,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:51:06Z,?,module,,,,,,,,,,0.0,,,,,
commons-io,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:51:06Z,src,module,,,,,,,,,,0.500425,,,,,
commons-io,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:51:45Z,?,module,,,,,,,,,0.0,,,,,,
commons-io,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:51:45Z,src,module,,,,,,,,,0.702108,,,,,,
commons-io,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:53:04Z,?,module,,,,,,,,,,,,0.0,,,
commons-io,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:53:04Z,src,module,,,,,,,,,,,,127.754335,,,
commons-io,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:54:22Z,?,module,,,,,,,,,,,,,0.0,,
commons-io,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:54:22Z,src,module,,,,,,,,,,,,,0.0,,
commons-io,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T11:00:40Z,?,module,,,,,,,,,,,,,0.0,,
commons-io,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T11:00:40Z,src,module,,,,,,,,,,,,,0.0,,
commons-io,c263e45c-541e-43a3-8b9f-a5c2268ca973,2026-02-27T10:59:41Z,?,module,,,,,,,,,,,,,0.0,,
commons-io,c263e45c-541e-43a3-8b9f-a5c2268ca973,2026-02-27T10:59:41Z,src,module,,,,,,,,,,,,,0.0,,
commons-io,fe48d1d4-a0b3-41d9-836c-ca4d994b73af,2026-02-27T10:58:48Z,?,module,,,,,,,,,,,,,0.0,,
commons-io,fe48d1d4-a0b3-41d9-836c-ca4d994b73af,2026-02-27T10:58:48Z,src,module,,,,,,,,,,,,,0.0,,
commons-lang,030e2a2b-218c-483d-a0fc-5676e8a16697,2026-02-27T11:16:43Z,?,module,,0.0,,,,,0.0,,,,0.0,,,,
commons-lang,030e2a2b-218c-483d-a0fc-5676e8a16697,2026-02-27T11:17:17Z,?,module,,,,,,,,,,0.0,,,,,
commons-lang,3b3891b5-75b4-4f68-8e64-e83d63db6a72,2026-02-27T11:03:21Z,?,module,,,,,,,,,,,,0.0,,,
commons-lang,3b3891b5-75b4-4f68-8e64-e83d63db6a72,2026-02-27T11:03:21Z,src,module,,,,,,,,,,,,421.949468,,,
commons-lang,3b3891b5-75b4-4f68-8e64-e83d63db6a72,2026-02-27T11:04:52Z,?,module,,,,,,,,,,,,,0.0,,
commons-lang,3b3891b5-75b4-4f68-8e64-e83d63db6a72,2026-02-27T11:04:52Z,src,module,,,,,,,,,,,,,0.0,,
commons-lang,4671899e-8e10-4968-9b8e-7c632f591567,2026-02-27T11:23:21Z,?,module,,0.0,,,,,0.0,,,,0.0,,,,
commons-lang,4671899e-8e10-4968-9b8e-7c632f591567,2026-02-27T11:23:21Z,src,module,,31.0,,,,,111.0,,,,0.78169,,,,
commons-lang,4671899e-8e10-4968-9b8e-7c632f591567,2026-02-27T11:23:45Z,?,module,,,,,,,,,,0.0,,,,,
commons-lang,4671899e-8e10-4968-9b8e-7c632f591567,2026-02-27T11:23:45Z,src,module,,,,,,,,,,0.78169,,,,,
commons-lang,5870895b-b82d-493e-8c96-985f04d264a4,2026-02-27T11:01:31Z,?,module,,,,,,,,,,,,,0.0,,
commons-lang,5870895b-b82d-493e-8c96-985f04d264a4,2026-02-27T11:01:31Z,src,module,,,,,,,,,,,,,0.0,,
commons-lang,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:47:38Z,src,module,,,,,2.141312,,,,,,,,,,
commons-lang,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:47:54Z,?,module,,,,,,,,,,,,,,0.0,0.0
commons-lang,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:47:54Z,src,module,,,,2.108108,,,,,,,,,,4403.0,9282.0
commons-lang,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:49:11Z,?,module,,0.0,,,,,0.0,,,,0.0,,,,
commons-lang,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:49:11Z,src,module,,51.0,,,,,51.0,,,,0.5,,,,
commons-lang,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:49:48Z,?,module,0.0,,0.0,,,0.0,,0.0,,,,,,,
commons-lang,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:49:48Z,src,module,714.0,,1379.0,,,1379.0,,0.658863,,,,,,,
commons-lang,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:51:06Z,?,module,,,,,,,,,,0.0,,,,,
commons-lang,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:51:06Z,src,module,,,,,,,,,,0.554402,,,,,
commons-lang,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:51:45Z,?,module,,,,,,,,,0.0,,,,,,
commons-lang,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:51:45Z,src,module,,,,,,,,,0.668598,,,,,,
commons-lang,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:53:04Z,?,module,,,,,,,,,,,,0.0,,,
commons-lang,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:53:04Z,src,module,,,,,,,,,,,,421.949468,,,
commons-lang,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:54:22Z,?,module,,,,,,,,,,,,,0.0,,
commons-lang,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:54:22Z,src,module,,,,,,,,,,,,,0.0,,
commons-lang,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T11:00:40Z,?,module,,,,,,,,,,,,,0.0,,
commons-lang,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T11:00:40Z,src,module,,,,,,,,,,,,,0.0,,
commons-lang,c263e45c-541e-43a3-8b9f-a5c2268ca973,2026-02-27T10:59:41Z,?,module,,,,,,,,,,,,,0.0,,
commons-lang,c263e45c-541e-43a3-8b9f-a5c2268ca973,2026-02-27T10:59:41Z,src,module,,,,,,,,,,,,,0.0,,
commons-lang,fe48d1d4-a0b3-41d9-836c-ca4d994b73af,2026-02-27T10:58:48Z,?,module,,,,,,,,,,,,,0.0,,
commons-lang,fe48d1d4-a0b3-41d9-836c-ca4d994b73af,2026-02-27T10:58:48Z,src,module,,,,,,,,,,,,,0.0,,
gson,030e2a2b-218c-483d-a0fc-5676e8a16697,2026-02-27T11:16:43Z,test-graal-native-image,module,,0.0,,,,,0.0,,,,0.0,,,,
gson,030e2a2b-218c-483d-a0fc-5676e8a16697,2026-02-27T11:17:17Z,test-graal-native-image,module,,,,,,,,,,0.0,,,,,
gson,3b3891b5-75b4-4f68-8e64-e83d63db6a72,2026-02-27T11:03:21Z,extras,module,,,,,,,,,,,,1.5625,,,
gson,3b3891b5-75b4-4f68-8e64-e83d63db6a72,2026-02-27T11:03:21Z,gson,module,,,,,,,,,,,,18.010101,,,
gson,3b3891b5-75b4-4f68-8e64-e83d63db6a72,2026-02-27T11:03:21Z,metrics,module,,,,,,,,,,,,0.371429,,,
gson,3b3891b5-75b4-4f68-8e64-e83d63db6a72,2026-02-27T11:03:21Z,proto,module,,,,,,,,,,,,1.666667,,,
gson,3b3891b5-75b4-4f68-8e64-e83d63db6a72,2026-02-27T11:03:21Z,test-graal-native-image,module,,,,,,,,,,,,11.388889,,,
gson,3b3891b5-75b4-4f68-8e64-e83d63db6a72,2026-02-27T11:03:21Z,test-jpms,module,,,,,,,,,,,,0.0,,,
gson,3b3891b5-75b4-4f68-8e64-e83d63db6a72,2026-02-27T11:03:21Z,test-shrinker,module,,,,,,,,,,,,4.868421,,,
gson,3b3891b5-75b4-4f68-8e64-e83d63db6a72,2026-02-27T11:04:52Z,extras,module,,,,,,,,,,,,,6.333333,,
gson,3b3891b5-75b4-4f68-8e64-e83d63db6a72,2026-02-27T11:04:52Z,gson,module,,,,,,,,,,,,,22.266968,,
gson,3b3891b5-75b4-4f68-8e64-e83d63db6a72,2026-02-27T11:04:52Z,metrics,module,,,,,,,,,,,,,2.555556,,
gson,3b3891b5-75b4-4f68-8e64-e83d63db6a72,2026-02-27T11:04:52Z,proto,module,,,,,,,,,,,,,18.0,,
gson,3b3891b5-75b4-4f68-8e64-e83d63db6a72,2026-02-27T11:04:52Z,test-graal-native-image,module,,,,,,,,,,,,,0.0,,
gson,3b3891b5-75b4-4f68-8e64-e83d63db6a72,2026-02-27T11:04:52Z,test-jpms,module,,,,,,,,,,,,,0.0,,
gson,3b3891b5-75b4-4f68-8e64-e83d63db6a72,2026-02-27T11:04:52Z,test-shrinker,module,,,,,,,,,,,,,33.052632,,
gson,4671899e-8e10-4968-9b8e-7c632f591567,2026-02-27T11:23:21Z,extras,module,,0.0,,,,,28.0,,,,1.0,,,,
gson,4671899e-8e10-4968-9b8e-7c632f591567,2026-02-27T11:23:21Z,gson,module,,28.0,,,,,75.0,,,,0.728155,,,,
gson,4671899e-8e10-4968-9b8e-7c632f591567,2026-02-27T11:23:21Z,metrics,module,,0.0,,,,,17.0,,,,1.0,,,,
gson,4671899e-8e10-4968-9b8e-7c632f591567,2026-02-27T11:23:21Z,proto,module,,0.0,,,,,9.0,,,,1.0,,,,
gson,4671899e-8e10-4968-9b8e-7c632f591567,2026-02-27T11:23:21Z,test-graal-native-image,module,,0.0,,,,,0.0,,,,0.0,,,,
gson,4671899e-8e10-4968-9b8e-7c632f591567,2026-02-27T11:23:21Z,test-jpms,module,,0.0,,,,,0.0,,,,0.0,,,,
gson,4671899e-8e10-4968-9b8e-7c632f591567,2026-02-27T11:23:21Z,test-shrinker,module,,0.0,,,,,6.0,,,,1.0,,,,
gson,4671899e-8e10-4968-9b8e-7c632f591567,2026-02-27T11:23:45Z,extras,module,,,,,,,,,,1.0,,,,,
gson,4671899e-8e10-4968-9b8e-7c632f591567,2026-02-27T11:23:45Z,gson,module,,,,,,,,,,0.728155,,,,,
gson,4671899e-8e10-4968-9b8e-7c632f591567,2026-02-27T11:23:45Z,metrics,module,,,,,,,,,,1.0,,,,,
gson,4671899e-8e10-4968-9b8e-7c632f591567,2026-02-27T11:23:45Z,proto,module,,,,,,,,,,1.0,,,,,
gson,4671899e-8e10-4968-9b8e-7c632f591567,2026-02-27T11:23:45Z,test-graal-native-image,module,,,,,,,,,,0.0,,,,,
gson,4671899e-8e10-4968-9b8e-7c632f591567,2026-02-27T11:23:45Z,test-jpms,module,,,,,,,,,,0.0,,,,,
gson,4671899e-8e10-4968-9b8e-7c632f591567,2026-02-27T11:23:45Z,test-shrinker,module,,,,,,,,,,1.0,,,,,
gson,5870895b-b82d-493e-8c96-985f04d264a4,2026-02-27T11:01:31Z,extras,module,,,,,,,,,,,,,6.333333,,
gson,5870895b-b82d-493e-8c96-985f04d264a4,2026-02-27T11:01:31Z,gson,module,,,,,,,,,,,,,22.266968,,
gson,5870895b-b82d-493e-8c96-985f04d264a4,2026-02-27T11:01:31Z,metrics,module,,,,,,,,,,,,,2.555556,,
gson,5870895b-b82d-493e-8c96-985f04d264a4,2026-02-27T11:01:31Z,proto,module,,,,,,,,,,,,,18.0,,
gson,5870895b-b82d-493e-8c96-985f04d264a4,2026-02-27T11:01:31Z,test-graal-native-image,module,,,,,,,,,,,,,0.0,,
gson,5870895b-b82d-493e-8c96-985f04d264a4,2026-02-27T11:01:31Z,test-jpms,module,,,,,,,,,,,,,0.0,,
gson,5870895b-b82d-493e-8c96-985f04d264a4,2026-02-27T11:01:31Z,test-shrinker,module,,,,,,,,,,,,,33.052632,,
gson,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:47:38Z,extras,module,,,,,3.131579,,,,,,,,,,
gson,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:47:38Z,gson,module,,,,,2.828883,,,,,,,,,,
gson,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:47:38Z,metrics,module,,,,,2.479167,,,,,,,,,,
gson,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:47:38Z,proto,module,,,,,2.8125,,,,,,,,,,
gson,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:47:54Z,extras,module,,,,2.863636,,,,,,,,,,44.0,126.0
gson,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:47:54Z,gson,module,,,,2.556854,,,,,,,,,,941.0,2406.0
gson,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:47:54Z,metrics,module,,,,2.469388,,,,,,,,,,49.0,121.0
gson,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:47:54Z,proto,module,,,,2.6875,,,,,,,,,,16.0,43.0
gson,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:47:54Z,test-graal-native-image,module,,,,,,,,,,,,,,0.0,0.0
gson,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:47:54Z,test-jpms,module,,,,,,,,,,,,,,0.0,0.0
gson,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:47:54Z,test-shrinker,module,,,,1.04918,,,,,,,,,,61.0,64.0
gson,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:49:11Z,extras,module,,0.0,,,,,0.0,,,,0.0,,,,
gson,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:49:11Z,gson,module,,30.0,,,,,30.0,,,,0.5,,,,
gson,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:49:11Z,metrics,module,,0.0,,,,,0.0,,,,0.0,,,,
gson,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:49:11Z,proto,module,,0.0,,,,,0.0,,,,0.0,,,,
gson,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:49:11Z,test-graal-native-image,module,,0.0,,,,,0.0,,,,0.0,,,,
gson,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:49:11Z,test-jpms,module,,0.0,,,,,0.0,,,,0.0,,,,
gson,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:49:11Z,test-shrinker,module,,0.0,,,,,0.0,,,,0.0,,,,
gson,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:49:48Z,extras,module,4.0,,80.0,,,80.0,,0.952381,,,,,,,
gson,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:49:48Z,gson,module,604.0,,807.0,,,807.0,,0.571935,,,,,,,
gson,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:49:48Z,metrics,module,13.0,,94.0,,,94.0,,0.878505,,,,,,,
gson,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:49:48Z,proto,module,2.0,,30.0,,,30.0,,0.9375,,,,,,,
gson,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:49:48Z,test-graal-native-image,module,0.0,,58.0,,,58.0,,1.0,,,,,,,
gson,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:49:48Z,test-jpms,module,0.0,,0.0,,,0.0,,0.0,,,,,,,
gson,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:49:48Z,test-shrinker,module,19.0,,99.0,,,99.0,,0.838983,,,,,,,
gson,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:51:06Z,extras,module,,,,,,,,,,0.0,,,,,
gson,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:51:06Z,gson,module,,,,,,,,,,0.428932,,,,,
gson,9929b6be-0f16-4679-aee9-66472cc3ed68,2026-02-27T10:51:06Z,metrics,module,,,,,,,,,,0.0,,,,,
